collision           collision_obst       flowtime            makespan             run_time             success         sum_of_dists         max_dist            
0                    0                    115                  17                   0.0                  100                  115.0                17.0                
0                    0                    118                  28                   0.0                  100                  118.0                28.0                
0                    0                    142                  26                   0.0                  100                  142.0                26.0                
0                    0                    152                  24                   0.0                  100                  150.0                24.0                
0                    0                    116                  21                   0.0                  100                  116.0                21.0                
0                    0                    105                  20                   0.0                  100                  105.0                20.0                
0                    0                    101                  15                   0.0                  100                  101.0                15.0                
0                    0                    111                  19                   0.0                  100                  110.0                19.0                
0                    0                    114                  20                   0.0                  100                  111.0                20.0                
0                    0                    125                  17                   0.0                  100                  125.0                17.0                
0                    0                    77                   11                   0.0                  100                  77.0                 11.0                
0                    0                    71                   18                   0.0                  100                  71.0                 18.0                
0                    0                    129                  20                   0.0                  100                  124.0                20.0                
0                    0                    143                  23                   0.0                  100                  143.0                23.0                
0                    0                    116                  17                   0.0                  100                  115.0                17.0                
0                    0                    120                  30                   0.0                  100                  111.0                30.0                
0                    0                    180                  14                   0.0                  100                  177.0                14.0                
0                    0                    166                  14                   0.0                  100                  164.0                14.0                
0                    0                    122                  14                   0.0                  100                  118.0                13.0                
0                    0                    186                  18                   0.0                  100                  186.0                18.0                
0                    0                    142                  14                   0.0                  100                  141.0                14.0                
0                    0                    164                  17                   0.0                  100                  160.0                17.0                
0                    0                    134                  17                   0.0                  100                  127.0                17.0                
0                    0                    177                  12                   0.0                  100                  176.0                12.0                
0                    0                    141                  13                   0.0                  100                  138.0                13.0                
0                    0                    186                  17                   0.0                  100                  186.0                17.0                
0                    0                    140                  14                   0.0                  100                  140.0                14.0                
0                    0                    198                  18                   0.0                  100                  192.0                18.0                
0                    0                    150                  16                   0.0                  100                  147.0                16.0                
0                    0                    146                  16                   0.0                  100                  146.0                16.0                
0                    0                    136                  12                   0.0                  100                  136.0                12.0                
0                    0                    176                  16                   0.0                  100                  167.0                16.0                
0                    0                    140                  13                   0.0                  100                  137.0                13.0                
