collisions           collisions_obs       flow_time            makespan             run_time             success_rate         sum_of_dists         max_dist            
0                    0                    183                  38                   0.0                  100                  183.0                38.0                
0                    0                    194                  35                   0.0                  100                  191.0                35.0                
0                    0                    192                  41                   0.0                  100                  178.0                41.0                
0                    0                    193                  49                   0.0                  100                  191.0                49.0                
0                    0                    443                  63                   0.0                  100                  411.0                62.0                
0                    0                    278                  59                   0.0                  100                  259.0                59.0                
0                    0                    166                  39                   0.0                  100                  152.0                39.0                
0                    0                    164                  44                   0.0                  100                  164.0                44.0                
0                    0                    129                  34                   0.0                  100                  128.0                34.0                
0                    0                    156                  33                   0.0                  100                  153.0                33.0                
0                    0                    187                  33                   0.0                  100                  187.0                33.0                
0                    0                    223                  44                   0.0                  100                  216.0                44.0                
0                    0                    161                  49                   0.0                  100                  156.0                49.0                
0                    0                    226                  65                   0.0                  100                  226.0                65.0                
0                    0                    242                  39                   0.0                  100                  241.0                39.0                
0                    0                    89                   16                   0.0                  100                  89.0                 16.0                
0                    0                    152                  31                   0.0                  100                  149.0                31.0                
0                    0                    196                  38                   0.0                  100                  196.0                38.0                
0                    0                    242                  45                   0.0                  100                  230.0                45.0                
0                    0                    109                  25                   0.0                  100                  109.0                25.0                
0                    0                    181                  32                   0.0                  100                  178.0                32.0                
0                    0                    179                  28                   0.0                  100                  177.0                27.0                
0                    0                    237                  61                   0.0                  100                  237.0                61.0                
0                    0                    376                  59                   0.001                100                  376.0                59.0                
0                    0                    186                  43                   0.0                  100                  182.0                43.0                
0                    0                    202                  51                   0.0                  100                  202.0                51.0                
0                    0                    187                  35                   0.0                  100                  181.0                35.0                
0                    0                    345                  71                   0.0                  100                  343.0                70.0                
0                    0                    242                  51                   0.0                  100                  233.0                51.0                
0                    0                    337                  56                   0.0                  100                  337.0                56.0                
0                    0                    204                  29                   0.0                  100                  204.0                29.0                
0                    0                    138                  34                   0.0                  100                  138.0                34.0                
0                    0                    192                  47                   0.0                  100                  192.0                47.0                
0                    0                    365                  52                   0.0                  100                  365.0                52.0                
0                    0                    404                  68                   0.0                  100                  375.0                68.0                
0                    0                    202                  37                   0.0                  100                  201.0                37.0                
0                    0                    329                  49                   0.0                  100                  326.0                49.0                
0                    0                    160                  38                   0.0                  100                  154.0                38.0                
0                    0                    220                  46                   0.0                  100                  219.0                46.0                
0                    0                    157                  31                   0.0                  100                  157.0                31.0                
0                    0                    259                  58                   0.0                  100                  257.0                57.0                
0                    0                    259                  46                   0.0                  100                  247.0                46.0                
0                    0                    192                  34                   0.0                  100                  192.0                34.0                
0                    0                    181                  49                   0.0                  100                  181.0                49.0                
0                    0                    185                  34                   0.0                  100                  182.0                34.0                
0                    0                    198                  30                   0.0                  100                  195.0                30.0                
0                    0                    254                  49                   0.0                  100                  233.0                49.0                
0                    0                    234                  29                   0.0                  100                  234.0                29.0                
0                    0                    98                   24                   0.0                  100                  98.0                 24.0                
0                    0                    306                  53                   0.0                  100                  305.0                53.0                
0                    0                    135                  29                   0.0                  100                  135.0                29.0                
0                    0                    245                  52                   0.0                  100                  245.0                52.0                
0                    0                    247                  54                   0.0                  100                  247.0                54.0                
0                    0                    149                  34                   0.0                  100                  149.0                34.0                
0                    0                    159                  35                   0.0                  100                  159.0                35.0                
0                    0                    362                  55                   0.0                  100                  355.0                55.0                
0                    0                    240                  43                   0.0                  100                  240.0                43.0                
0                    0                    143                  30                   0.0                  100                  143.0                30.0                
0                    0                    181                  42                   0.0                  100                  181.0                42.0                
0                    0                    186                  37                   0.0                  100                  185.0                37.0                
0                    0                    146                  34                   0.0                  100                  146.0                34.0                
0                    0                    215                  48                   0.0                  100                  215.0                48.0                
0                    0                    152                  29                   0.0                  100                  152.0                29.0                
0                    0                    171                  47                   0.0                  100                  171.0                47.0                
0                    0                    164                  33                   0.0                  100                  159.0                33.0                
0                    0                    234                  40                   0.0                  100                  234.0                40.0                
0                    0                    121                  30                   0.0                  100                  120.0                30.0                
0                    0                    354                  55                   0.0                  100                  354.0                55.0                
0                    0                    169                  24                   0.0                  100                  169.0                24.0                
0                    0                    167                  32                   0.0                  100                  161.0                32.0                
0                    0                    186                  33                   0.0                  100                  186.0                33.0                
0                    0                    175                  33                   0.0                  100                  175.0                33.0                
0                    0                    172                  30                   0.0                  100                  172.0                30.0                
0                    0                    173                  36                   0.0                  100                  172.0                36.0                
0                    0                    183                  32                   0.0                  100                  183.0                32.0                
0                    0                    182                  34                   0.0                  100                  182.0                34.0                
0                    0                    150                  34                   0.0                  100                  150.0                34.0                
0                    0                    194                  29                   0.0                  100                  193.0                29.0                
0                    0                    246                  41                   0.0                  100                  245.0                41.0                
0                    0                    193                  39                   0.0                  100                  193.0                39.0                
0                    0                    178                  32                   0.0                  100                  177.0                32.0                
0                    0                    290                  56                   0.0                  100                  255.0                56.0                
0                    0                    263                  51                   0.0                  100                  263.0                51.0                
0                    0                    208                  57                   0.0                  100                  207.0                57.0                
0                    0                    176                  32                   0.0                  100                  176.0                32.0                
0                    0                    151                  32                   0.0                  100                  151.0                32.0                
0                    0                    137                  29                   0.0                  100                  126.0                29.0                
0                    0                    258                  44                   0.0                  100                  228.0                44.0                
0                    0                    163                  28                   0.0                  100                  152.0                28.0                
0                    0                    240                  41                   0.0                  100                  240.0                41.0                
0                    0                    238                  54                   0.0                  100                  238.0                54.0                
0                    0                    217                  36                   0.0                  100                  217.0                36.0                
0                    0                    171                  35                   0.0                  100                  159.0                35.0                
0                    0                    120                  28                   0.0                  100                  109.0                28.0                
0                    0                    210                  35                   0.0                  100                  210.0                35.0                
0                    0                    219                  28                   0.0                  100                  218.0                28.0                
0                    0                    304                  42                   0.0                  100                  303.0                42.0                
0                    0                    177                  42                   0.0                  100                  177.0                42.0                
0                    0                    312                  58                   0.0                  100                  305.0                58.0                
0                    0                    244                  43                   0.0                  100                  244.0                43.0                
0                    0                    189                  50                   0.0                  100                  179.0                50.0                
0                    0                    149                  29                   0.0                  100                  144.0                29.0                
0                    0                    279                  49                   0.0                  100                  243.0                49.0                
0                    0                    222                  45                   0.0                  100                  222.0                45.0                
0                    0                    404                  63                   0.0                  100                  402.0                62.0                
0                    0                    216                  44                   0.0                  100                  216.0                44.0                
0                    0                    293                  53                   0.0                  100                  289.0                53.0                
0                    0                    275                  43                   0.0                  100                  275.0                43.0                
0                    0                    214                  48                   0.0                  100                  210.0                48.0                
0                    0                    161                  28                   0.0                  100                  161.0                28.0                
0                    0                    166                  35                   0.0                  100                  143.0                35.0                
0                    0                    139                  42                   0.0                  100                  139.0                42.0                
0                    0                    160                  28                   0.0                  100                  160.0                28.0                
0                    0                    236                  58                   0.0                  100                  236.0                58.0                
0                    0                    159                  40                   0.0                  100                  147.0                40.0                
0                    0                    135                  32                   0.0                  100                  128.0                32.0                
0                    0                    281                  44                   0.0                  100                  236.0                44.0                
0                    0                    177                  38                   0.0                  100                  165.0                38.0                
0                    0                    208                  37                   0.0                  100                  208.0                37.0                
0                    0                    260                  41                   0.0                  100                  228.0                41.0                
0                    0                    143                  30                   0.0                  100                  143.0                30.0                
0                    0                    187                  29                   0.0                  100                  186.0                29.0                
0                    0                    86                   29                   0.0                  100                  86.0                 29.0                
0                    0                    150                  34                   0.0                  100                  150.0                34.0                
0                    0                    279                  50                   0.0                  100                  279.0                50.0                
0                    0                    124                  29                   0.0                  100                  124.0                29.0                
0                    0                    76                   16                   0.0                  100                  76.0                 16.0                
0                    0                    309                  47                   0.0                  100                  309.0                47.0                
0                    0                    203                  57                   0.0                  100                  196.0                57.0                
0                    0                    100                  29                   0.0                  100                  99.0                 29.0                
0                    0                    165                  32                   0.0                  100                  164.0                32.0                
0                    0                    119                  44                   0.0                  100                  115.0                44.0                
0                    0                    210                  34                   0.0                  100                  209.0                34.0                
0                    0                    283                  54                   0.0                  100                  275.0                54.0                
0                    0                    226                  43                   0.0                  100                  201.0                43.0                
0                    0                    151                  25                   0.0                  100                  151.0                25.0                
0                    0                    222                  43                   0.0                  100                  218.0                43.0                
0                    0                    138                  33                   0.0                  100                  137.0                33.0                
0                    0                    244                  47                   0.0                  100                  244.0                47.0                
0                    0                    206                  57                   0.0                  100                  206.0                57.0                
0                    0                    164                  37                   0.0                  100                  164.0                37.0                
0                    0                    214                  29                   0.0                  100                  214.0                29.0                
0                    0                    121                  39                   0.0                  100                  121.0                39.0                
0                    0                    229                  37                   0.0                  100                  227.0                37.0                
0                    0                    323                  47                   0.0                  100                  323.0                47.0                
0                    0                    124                  42                   0.0                  100                  124.0                42.0                
0                    0                    191                  45                   0.0                  100                  191.0                45.0                
0                    0                    129                  27                   0.0                  100                  129.0                27.0                
0                    0                    448                  76                   0.0                  100                  440.0                76.0                
0                    0                    165                  39                   0.0                  100                  165.0                39.0                
0                    0                    210                  56                   0.0                  100                  187.0                56.0                
0                    0                    188                  50                   0.0                  100                  188.0                50.0                
0                    0                    179                  43                   0.0                  100                  179.0                43.0                
0                    0                    231                  37                   0.0                  100                  219.0                37.0                
0                    0                    166                  33                   0.0                  100                  166.0                33.0                
0                    0                    203                  48                   0.0                  100                  203.0                48.0                
0                    0                    179                  33                   0.0                  100                  179.0                33.0                
0                    0                    154                  28                   0.0                  100                  154.0                28.0                
0                    0                    246                  50                   0.0                  100                  240.0                50.0                
0                    0                    167                  35                   0.0                  100                  167.0                35.0                
0                    0                    310                  44                   0.0                  100                  299.0                44.0                
0                    0                    269                  51                   0.0                  100                  269.0                51.0                
0                    0                    298                  49                   0.0                  100                  296.0                48.0                
0                    0                    176                  45                   0.0                  100                  176.0                45.0                
0                    0                    171                  40                   0.0                  100                  171.0                40.0                
0                    0                    209                  31                   0.0                  100                  208.0                31.0                
0                    0                    142                  34                   0.0                  100                  140.0                34.0                
0                    0                    162                  42                   0.0                  100                  162.0                42.0                
0                    0                    232                  44                   0.0                  100                  226.0                44.0                
0                    0                    153                  37                   0.0                  100                  153.0                37.0                
0                    0                    159                  39                   0.0                  100                  159.0                39.0                
0                    0                    209                  38                   0.0                  100                  206.0                38.0                
0                    0                    181                  44                   0.0                  100                  181.0                44.0                
0                    0                    207                  37                   0.0                  100                  204.0                37.0                
0                    0                    304                  41                   0.0                  100                  257.0                41.0                
0                    0                    231                  21                   0.0                  100                  218.0                21.0                
0                    0                    226                  27                   0.0                  100                  218.0                27.0                
0                    0                    250                  23                   0.0                  100                  233.0                22.0                
0                    0                    229                  47                   0.0                  100                  215.0                47.0                
0                    0                    299                  41                   0.0                  100                  266.0                41.0                
0                    0                    457                  53                   0.0                  100                  402.0                52.0                
0                    0                    302                  39                   0.0                  100                  276.0                39.0                
0                    0                    297                  45                   0.0                  100                  289.0                45.0                
0                    0                    271                  23                   0.0                  100                  271.0                23.0                
0                    0                    361                  39                   0.0                  100                  335.0                39.0                
0                    0                    204                  35                   0.0                  100                  192.0                35.0                
0                    0                    317                  32                   0.0                  100                  286.0                31.0                
0                    0                    289                  32                   0.0                  100                  289.0                32.0                
0                    0                    244                  28                   0.0                  100                  226.0                27.0                
0                    0                    331                  32                   0.0                  100                  288.0                31.0                
0                    0                    409                  44                   0.0                  100                  388.0                44.0                
0                    0                    273                  29                   0.0                  100                  271.0                29.0                
0                    0                    137                  23                   0.0                  100                  137.0                23.0                
0                    0                    251                  24                   0.0                  100                  251.0                24.0                
0                    0                    425                  37                   0.0                  100                  401.0                36.0                
0                    0                    234                  29                   0.0                  100                  223.0                29.0                
0                    0                    489                  45                   0.0                  100                  454.0                44.0                
0                    0                    280                  43                   0.0                  100                  278.0                43.0                
0                    0                    250                  26                   0.0                  100                  250.0                26.0                
0                    0                    430                  48                   0.0                  100                  414.0                48.0                
0                    0                    286                  52                   0.0                  100                  258.0                52.0                
0                    0                    371                  34                   0.0                  100                  370.0                34.0                
0                    0                    261                  29                   0.0                  100                  246.0                29.0                
0                    0                    296                  35                   0.0                  100                  296.0                35.0                
0                    0                    206                  22                   0.0                  100                  203.0                22.0                
0                    0                    304                  32                   0.0                  100                  284.0                32.0                
0                    0                    208                  28                   0.0                  100                  207.0                27.0                
0                    0                    349                  47                   0.0                  100                  330.0                47.0                
0                    0                    422                  50                   0.0                  100                  401.0                50.0                
0                    0                    277                  40                   0.0                  100                  257.0                40.0                
0                    0                    286                  32                   0.0                  100                  284.0                32.0                
0                    0                    225                  26                   0.0                  100                  220.0                26.0                
0                    0                    194                  22                   0.0                  100                  194.0                22.0                
0                    0                    153                  17                   0.0                  100                  153.0                17.0                
0                    0                    254                  26                   0.0                  100                  238.0                26.0                
0                    0                    265                  30                   0.0                  100                  253.0                30.0                
0                    0                    439                  43                   0.0                  100                  399.0                43.0                
0                    0                    378                  35                   0.0                  100                  371.0                35.0                
0                    0                    308                  37                   0.0                  100                  293.0                36.0                
0                    0                    184                  24                   0.0                  100                  182.0                24.0                
0                    0                    383                  32                   0.0                  100                  346.0                32.0                
0                    0                    348                  46                   0.0                  100                  345.0                46.0                
0                    0                    241                  19                   0.0                  100                  218.0                19.0                
0                    0                    344                  39                   0.0                  100                  324.0                39.0                
0                    0                    244                  30                   0.0                  100                  244.0                30.0                
0                    0                    320                  29                   0.0                  100                  280.0                29.0                
0                    0                    240                  27                   0.0                  100                  223.0                27.0                
0                    0                    190                  19                   0.0                  100                  180.0                19.0                
0                    0                    196                  30                   0.0                  100                  194.0                30.0                
0                    0                    230                  22                   0.0                  100                  220.0                22.0                
0                    0                    213                  24                   0.0                  100                  206.0                24.0                
0                    0                    465                  48                   0.0                  100                  395.0                48.0                
0                    0                    332                  44                   0.0                  100                  316.0                44.0                
0                    0                    205                  31                   0.0                  100                  203.0                31.0                
0                    0                    474                  46                   0.0                  100                  474.0                46.0                
0                    0                    299                  29                   0.0                  100                  298.0                29.0                
0                    0                    179                  21                   0.0                  100                  179.0                21.0                
0                    0                    256                  32                   0.0                  100                  244.0                32.0                
0                    0                    302                  31                   0.0                  100                  286.0                30.0                
0                    0                    406                  41                   0.0                  100                  377.0                41.0                
0                    0                    288                  32                   0.0                  100                  276.0                32.0                
0                    0                    276                  42                   0.0                  100                  262.0                42.0                
0                    0                    344                  31                   0.0                  100                  340.0                31.0                
0                    0                    486                  45                   0.0                  100                  465.0                45.0                
0                    0                    400                  48                   0.0                  100                  389.0                48.0                
0                    0                    345                  46                   0.0                  100                  330.0                46.0                
0                    0                    322                  43                   0.0                  100                  322.0                43.0                
0                    0                    289                  42                   0.0                  100                  286.0                42.0                
0                    0                    269                  27                   0.0                  100                  261.0                27.0                
0                    0                    387                  37                   0.0                  100                  343.0                37.0                
0                    0                    193                  31                   0.0                  100                  193.0                31.0                
0                    0                    253                  34                   0.0                  100                  253.0                34.0                
0                    0                    323                  38                   0.0                  100                  322.0                38.0                
0                    0                    300                  28                   0.0                  100                  297.0                28.0                
0                    0                    606                  57                   0.001                100                  592.0                56.0                
0                    0                    310                  28                   0.0                  100                  282.0                28.0                
0                    0                    218                  24                   0.0                  100                  203.0                24.0                
0                    0                    215                  41                   0.0                  100                  215.0                41.0                
